,sentence,difficulty
1250,Il se découragea un peu.,B2
1251,"Mais il fit encore un effort :

- Ce sera gentil, tu sais.",B1
1252,Moi aussi je regarderai les étoiles.,A1
1253,Toutes les étoiles seront des puits avec une poulie rouillée.,B2
1254,"Toutes les étoiles me verseront à boire...

Moi je me taisais.",B1
1255,- Ce sera tellement amusant !,A2
1256,"Tu auras cinq cents millions de grelots, j'aurai cinq cents millions de fontaines...",C2
1257,"Et il se tut aussi, parce qu'il pleurait...

- C'est là.",A2
1258,Laisse-moi faire un pas tout seul.,A1
1259,Et il s'assit parce qu'il avait peur.,A2
1260,"Il dit encore :

- Tu sais... ma fleur... j'en suis responsable !",A2
1261,Et elle est tellement faible !,A2
1262,Et elle est tellement naïve.,A2
1263,"Elle a quatre épines de rien du tout pour la protéger contre le monde...

Moi je m'assis parce que je ne pouvais plus me tenir debout.",A2
1264,"Il dit :

- Voilà... C'est tout...

Il hésita encore un peu, puis il se releva.",A2
1265,Il fit un pas.,A2
1266,Moi je ne pouvais pas bouger.,A2
1267,Il n'y eut rien qu'un éclair jaune près de sa cheville.,B2
1268,Il demeura un instant immobile.,B2
1269,Il ne cria pas.,A2
1270,Il tomba doucement comme tombe un arbre.,B2
1271,"Ça ne fit même pas de bruit, à cause du sable.",A2
1272,Les camarades qui m'ont revu ont été bien contents de me revoir vivant.,B1
1273,"J'étais triste, mais je leur disais :""C'est la fatigue...""

Maintenant je me suis un peu consolé.",A2
1274,C'est-à-dire... pas tout à fait.,A2
1275,"Mais je sais bien qu'il est revenu à sa planète, car, au lever du jour, je n'ai pas retrouvé son corps.",A2
1276,Ce n'était pas un corps tellement lourd...,A2
1277,Et j'aime la nuit écouter les étoiles.,A1
1278,"C'est comme cinq cents millions de grelots...

Mais voilà qu'il se passe quelque chose d'extraordinaire.",A2
1279,"La muselière que j'ai dessinée pour le petit prince, j'ai oublié d'y ajouter la courroie de cuir !",B1
1280,Il n'aura jamais pu l'attacher au mouton.,A2
1281,"Alors je me demande :""Que s'est-il passé sur sa planète ?",A2
1282,"Peut-être bien que le mouton a mangé la fleur...""

Tantôt je me dis :""Sûrement non !",A2
1283,"Le petit prince enferme sa fleur toutes les nuits sous son globe de verre, et il surveille bien son mouton...""Alors je suis heureux.",B1
1284,Et toutes les étoiles rient doucement.,B1
1285,"Tantôt je me dis :""On est distrait une fois ou l'autre, et ça suffit !",A2
1286,"Il a oublié, un soir, le globe de verre, ou bien le mouton est sorti sans bruit pendant la nuit...""Alors les grelots se changent tous en larmes !",B1
1287,"...

C'est là un bien grand mystère.",B1
1288,"Pour vous qui aimez aussi le petit prince, comme pour moi, rien de l'univers n'est semblable si quelque part, on ne sait où, un mouton que nous ne connaissons pas a, oui ou non, mangé une rose...

Regardez le ciel.",B1
1289,Demandez-vous : Le mouton oui ou non a-t-il mangé la fleur ?,A2
1290,Et vous verrez comme tout change...,A2
1291,Et aucune grande personne ne comprendra jamais que ça a tellement d'importance !,A2
